02-16-2026 15:54:08 RAM 9798/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [3%@729,2%@729,21%@729,2%@729,3%@2112,3%@2112,31%@2112,2%@2112,2%@729,5%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@41.875C soc2@37.093C soc0@38.062C tj@41.875C soc1@38.625C VDD_GPU_SOC 2804mW/2804mW VDD_CPU_CV 1201mW/1201mW VIN_SYS_5V0 4032mW/4032mW
02-16-2026 17:58:25 RAM 19184/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,85%@2201,0%@2201,0%@2201,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 42% cpu@55.187C soc2@50.062C soc0@50.937C tj@55.187C soc1@51.687C VDD_GPU_SOC 6410mW/12979mW VDD_CPU_CV 2403mW/2140mW VIN_SYS_5V0 5754mW/6553mW
02-16-2026 17:58:28 RAM 19192/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@729,3%@729,1%@729,1%@729,0%@729,0%@729,2%@729,0%@729,0%@2201,72%@2201,0%@2201,0%@2201] GR3D_FREQ 21% cpu@55.281C soc2@50.468C soc0@51.5C tj@55.281C soc1@51.75C VDD_GPU_SOC 16833mW/12981mW VDD_CPU_CV 2404mW/2140mW VIN_SYS_5V0 7067mW/6553mW
02-16-2026 17:58:31 RAM 19192/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,81%@2201,0%@2201,0%@2201] GR3D_FREQ 21% cpu@55.437C soc2@50.687C soc0@51.625C tj@55.437C soc1@52.125C VDD_GPU_SOC 18837mW/12983mW VDD_CPU_CV 2004mW/2140mW VIN_SYS_5V0 7370mW/6553mW
02-16-2026 17:58:34 RAM 19192/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@2201,17%@2201,0%@2201,2%@2201,0%@729,0%@729,0%@729,1%@729,0%@729,65%@729,0%@729,0%@729] GR3D_FREQ 34% cpu@55.937C soc2@50.718C soc0@51.593C tj@55.937C soc1@52.031C VDD_GPU_SOC 15230mW/12984mW VDD_CPU_CV 2404mW/2140mW VIN_SYS_5V0 6865mW/6553mW
02-16-2026 17:58:37 RAM 19192/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,87%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 46% cpu@55.25C soc2@50.031C soc0@51C tj@55.25C soc1@51.812C VDD_GPU_SOC 5608mW/12981mW VDD_CPU_CV 2403mW/2140mW VIN_SYS_5V0 5653mW/6553mW
02-16-2026 17:58:40 RAM 19188/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,14%@729,9%@729,1%@729,0%@729,0%@729,0%@729,0%@729,9%@2201,48%@2201,0%@2201,0%@2201] GR3D_FREQ 41% cpu@55.218C soc2@50.156C soc0@51.25C tj@55.218C soc1@51.781C VDD_GPU_SOC 14835mW/12982mW VDD_CPU_CV 2404mW/2140mW VIN_SYS_5V0 6663mW/6553mW
02-16-2026 17:58:43 RAM 19182/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@729,2%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@2201,84%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@55.468C soc2@50.968C soc0@51.75C tj@55.468C soc1@51.906C VDD_GPU_SOC 21225mW/12985mW VDD_CPU_CV 2402mW/2140mW VIN_SYS_5V0 7887mW/6553mW
02-16-2026 17:58:46 RAM 19186/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,0%@2201,17%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,67%@729,0%@729,0%@729] GR3D_FREQ 29% cpu@55.718C soc2@50.656C soc0@51.625C tj@55.718C soc1@51.968C VDD_GPU_SOC 14829mW/12986mW VDD_CPU_CV 2404mW/2140mW VIN_SYS_5V0 6865mW/6554mW
02-16-2026 17:58:49 RAM 19185/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [2%@2201,0%@2201,87%@2201,0%@2201,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 36% cpu@55C soc2@49.968C soc0@51.062C tj@55C soc1@51.875C VDD_GPU_SOC 6012mW/12983mW VDD_CPU_CV 2403mW/2141mW VIN_SYS_5V0 5754mW/6553mW
02-16-2026 17:58:52 RAM 19185/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@729,1%@729,26%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@1574,52%@1574,0%@1574,0%@1574] GR3D_FREQ 16% cpu@55.25C soc2@50.281C soc0@51.281C tj@55.25C soc1@51.875C VDD_GPU_SOC 17642mW/12985mW VDD_CPU_CV 2004mW/2141mW VIN_SYS_5V0 7168mW/6553mW
02-16-2026 17:58:55 RAM 19185/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@2201,1%@2201,0%@2201,1%@729,0%@729,0%@729,0%@729,0%@2188,83%@2188,0%@2188,0%@2188] GR3D_FREQ 15% cpu@55.406C soc2@50.531C soc0@51.593C tj@55.406C soc1@51.937C VDD_GPU_SOC 19647mW/12988mW VDD_CPU_CV 2004mW/2140mW VIN_SYS_5V0 7370mW/6554mW
02-16-2026 17:58:58 RAM 19191/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,0%@2201,1%@2201,7%@2201,0%@729,0%@729,1%@729,0%@729,0%@729,75%@729,0%@729,0%@729] GR3D_FREQ 38% cpu@55.906C soc2@50.75C soc0@51.656C tj@55.75C soc1@51.968C VDD_GPU_SOC 19639mW/12990mW VDD_CPU_CV 2004mW/2140mW VIN_SYS_5V0 7471mW/6554mW
02-16-2026 17:59:01 RAM 19191/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2188,0%@2188,23%@2188,60%@2188,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 33% cpu@55.25C soc2@50.093C soc0@50.968C tj@55.25C soc1@51.718C VDD_GPU_SOC 6810mW/12988mW VDD_CPU_CV 2403mW/2141mW VIN_SYS_5V0 5956mW/6554mW
02-16-2026 17:59:04 RAM 19192/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,37%@729,0%@729,0%@729,0%@729,1%@729,0%@2188,39%@2188,0%@2188,0%@2188] GR3D_FREQ 14% cpu@55.218C soc2@50.406C soc0@51.468C tj@55.218C soc1@51.75C VDD_GPU_SOC 18444mW/12990mW VDD_CPU_CV 2004mW/2140mW VIN_SYS_5V0 7269mW/6554mW
02-16-2026 17:59:07 RAM 19192/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@2201,82%@2201,0%@2201,0%@2201] GR3D_FREQ 99% cpu@55.593C soc2@50.812C soc0@51.781C tj@55.593C soc1@51.843C VDD_GPU_SOC 19230mW/12992mW VDD_CPU_CV 2402mW/2141mW VIN_SYS_5V0 7584mW/6555mW
02-16-2026 17:59:10 RAM 19198/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,1%@729,8%@1036,70%@1036,0%@1036,0%@1036] GR3D_FREQ 99% cpu@55.5C soc2@51.218C soc0@52.062C tj@55.5C soc1@52.187C VDD_GPU_SOC 23628mW/12997mW VDD_CPU_CV 2002mW/2141mW VIN_SYS_5V0 8190mW/6555mW
02-16-2026 17:59:13 RAM 19193/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [23%@2201,0%@2201,0%@2201,34%@2201,10%@2201,23%@2201,0%@2201,0%@2201,0%@729,1%@729,0%@729,1%@729] GR3D_FREQ 31% cpu@56.156C soc2@50.093C soc0@51.25C tj@56.156C soc1@52C VDD_GPU_SOC 5208mW/12994mW VDD_CPU_CV 2804mW/2141mW VIN_SYS_5V0 5451mW/6555mW
02-16-2026 17:59:16 RAM 19193/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,17%@2201,40%@2201,29%@2201,1%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 98% cpu@55.437C soc2@50.25C soc0@51.25C tj@55.437C soc1@51.781C VDD_GPU_SOC 12815mW/12993mW VDD_CPU_CV 2401mW/2141mW VIN_SYS_5V0 6764mW/6555mW
02-16-2026 17:59:19 RAM 19191/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,1%@729,1%@729,0%@729,28%@729,1%@729,13%@2201,52%@2201,0%@2201,0%@2201] GR3D_FREQ 23% cpu@55.593C soc2@50.281C soc0@51.25C tj@55.593C soc1@51.875C VDD_GPU_SOC 15631mW/12995mW VDD_CPU_CV 2404mW/2141mW VIN_SYS_5V0 7067mW/6555mW
02-16-2026 17:59:22 RAM 18948/62841MB (lfb 394x4MB) SWAP 313/31420MB (cached 5MB) CPU [23%@2201,1%@2201,0%@2201,0%@2201,3%@2201,7%@2201,18%@2201,0%@2201,4%@729,70%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@55.468C soc2@50.25C soc0@50.968C tj@55.468C soc1@51.718C VDD_GPU_SOC 6012mW/12992mW VDD_CPU_CV 3205mW/2141mW VIN_SYS_5V0 5653mW/6555mW
02-16-2026 17:59:25 RAM 11502/62841MB (lfb 402x4MB) SWAP 313/31420MB (cached 5MB) CPU [32%@2201,2%@2201,17%@2201,0%@2201,25%@729,2%@729,12%@729,0%@729,0%@729,1%@729,0%@729,16%@729] GR3D_FREQ 0% cpu@54.625C soc2@49.843C soc0@50.75C tj@54.625C soc1@51.437C VDD_GPU_SOC 2804mW/12988mW VDD_CPU_CV 2002mW/2141mW VIN_SYS_5V0 4334mW/6554mW
02-16-2026 17:59:28 RAM 11709/62841MB (lfb 402x4MB) SWAP 313/31420MB (cached 5MB) CPU [5%@729,4%@729,5%@729,4%@729,4%@2201,18%@2201,4%@2201,65%@2201,4%@729,4%@729,5%@729,4%@729] GR3D_FREQ 0% cpu@54.468C soc2@49.281C soc0@50.468C tj@54.468C soc1@51.343C VDD_GPU_SOC 2804mW/12984mW VDD_CPU_CV 2803mW/2142mW VIN_SYS_5V0 4536mW/6553mW
02-16-2026 17:59:31 RAM 11791/62841MB (lfb 402x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.156C soc2@49.062C soc0@50.187C tj@54.156C soc1@51.156C VDD_GPU_SOC 2804mW/12980mW VDD_CPU_CV 2402mW/2142mW VIN_SYS_5V0 4536mW/6552mW
02-16-2026 17:59:34 RAM 11901/62841MB (lfb 402x4MB) SWAP 313/31420MB (cached 5MB) CPU [2%@729,2%@729,2%@729,2%@729,2%@729,2%@729,2%@729,72%@729,2%@729,2%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@53.343C soc2@48.812C soc0@50.031C tj@53.343C soc1@50.968C VDD_GPU_SOC 2804mW/12975mW VDD_CPU_CV 801mW/2141mW VIN_SYS_5V0 3931mW/6551mW
02-16-2026 17:59:37 RAM 11938/62841MB (lfb 402x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@729,7%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.281C soc2@48.5C soc0@49.875C tj@53.281C soc1@50.843C VDD_GPU_SOC 2804mW/12971mW VDD_CPU_CV 800mW/2141mW VIN_SYS_5V0 4132mW/6550mW
02-16-2026 17:59:40 RAM 11983/62841MB (lfb 402x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@729,0%@729,29%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.093C soc2@48.437C soc0@49.812C tj@53.093C soc1@50.562C VDD_GPU_SOC 2804mW/12967mW VDD_CPU_CV 801mW/2140mW VIN_SYS_5V0 3931mW/6549mW
02-16-2026 17:59:43 RAM 12062/62841MB (lfb 402x4MB) SWAP 313/31420MB (cached 5MB) CPU [6%@2201,0%@2201,27%@2201,1%@2201,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@53.375C soc2@48.5C soc0@49.656C tj@53.375C soc1@50.468C VDD_GPU_SOC 3205mW/12963mW VDD_CPU_CV 1602mW/2140mW VIN_SYS_5V0 4442mW/6548mW
02-16-2026 17:59:46 RAM 12096/62841MB (lfb 402x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@2201,0%@2201,98%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.5C soc2@48.281C soc0@49.5C tj@53.5C soc1@50.562C VDD_GPU_SOC 2804mW/12959mW VDD_CPU_CV 2804mW/2140mW VIN_SYS_5V0 4435mW/6548mW
02-16-2026 17:59:49 RAM 12150/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,0%@2201,74%@2201,14%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 59% cpu@53.312C soc2@48.25C soc0@49.406C tj@53.312C soc1@50.406C VDD_GPU_SOC 4407mW/12956mW VDD_CPU_CV 2403mW/2140mW VIN_SYS_5V0 5754mW/6547mW
02-16-2026 17:59:52 RAM 12154/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [8%@2201,0%@2201,48%@2201,35%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 61% cpu@53.312C soc2@48.25C soc0@49.343C tj@53.312C soc1@50.25C VDD_GPU_SOC 4407mW/12953mW VDD_CPU_CV 2403mW/2140mW VIN_SYS_5V0 5754mW/6547mW
02-16-2026 17:59:55 RAM 12160/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [49%@2201,1%@2201,0%@2201,43%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 59% cpu@53.156C soc2@48.281C soc0@49.25C tj@53.156C soc1@50.125C VDD_GPU_SOC 4407mW/12949mW VDD_CPU_CV 2402mW/2141mW VIN_SYS_5V0 5754mW/6547mW
02-16-2026 17:59:58 RAM 12159/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [9%@2201,82%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 62% cpu@53.5C soc2@48.187C soc0@49.343C tj@53.437C soc1@50.062C VDD_GPU_SOC 4407mW/12946mW VDD_CPU_CV 2804mW/2141mW VIN_SYS_5V0 5754mW/6546mW
02-16-2026 18:00:01 RAM 12156/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [46%@2201,44%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 59% cpu@53.218C soc2@48.25C soc0@49.218C tj@53.218C soc1@50C VDD_GPU_SOC 4407mW/12942mW VDD_CPU_CV 2403mW/2141mW VIN_SYS_5V0 5754mW/6546mW
02-16-2026 18:00:04 RAM 12158/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [12%@2201,80%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 56% cpu@53.093C soc2@47.906C soc0@49.093C tj@53.093C soc1@50.093C VDD_GPU_SOC 3605mW/12939mW VDD_CPU_CV 2403mW/2141mW VIN_SYS_5V0 5249mW/6545mW
02-16-2026 18:00:07 RAM 12871/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,88%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 2% cpu@53.156C soc2@47.687C soc0@48.937C tj@53.156C soc1@49.937C VDD_GPU_SOC 3205mW/12935mW VDD_CPU_CV 2403mW/2141mW VIN_SYS_5V0 4737mW/6545mW
02-16-2026 18:00:10 RAM 13076/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@2201,99%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 2% cpu@53.125C soc2@47.75C soc0@48.843C tj@53.125C soc1@49.906C VDD_GPU_SOC 3205mW/12931mW VDD_CPU_CV 2804mW/2141mW VIN_SYS_5V0 4536mW/6544mW
02-16-2026 18:00:13 RAM 13157/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,78%@2201,0%@2201,0%@2201,3%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.281C soc2@47.718C soc0@49.031C tj@53.281C soc1@49.718C VDD_GPU_SOC 3205mW/12927mW VDD_CPU_CV 2804mW/2142mW VIN_SYS_5V0 4737mW/6543mW
02-16-2026 18:00:16 RAM 13714/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [16%@729,47%@729,1%@729,0%@729,0%@729,1%@729,2%@729,1%@729,8%@2201,15%@2201,0%@2201,0%@2201] GR3D_FREQ 56% cpu@52.781C soc2@47.593C soc0@48.968C tj@52.781C soc1@49.656C VDD_GPU_SOC 6410mW/12924mW VDD_CPU_CV 2003mW/2142mW VIN_SYS_5V0 5855mW/6543mW
02-16-2026 18:00:19 RAM 13738/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,82%@2201,0%@2201,0%@2201] GR3D_FREQ 44% cpu@52.843C soc2@47.562C soc0@48.875C tj@52.843C soc1@49.875C VDD_GPU_SOC 5611mW/12922mW VDD_CPU_CV 2403mW/2142mW VIN_SYS_5V0 5653mW/6543mW
02-16-2026 18:00:22 RAM 15390/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [8%@2201,0%@2201,52%@2201,0%@2201,1%@729,0%@729,0%@729,0%@729,0%@729,21%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@53.062C soc2@48.437C soc0@49.531C tj@53.062C soc1@50C VDD_GPU_SOC 18422mW/12924mW VDD_CPU_CV 2402mW/2142mW VIN_SYS_5V0 7482mW/6543mW
02-16-2026 18:00:25 RAM 15413/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,0%@2201,83%@2201,2%@2201,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 21% cpu@53.531C soc2@48.375C soc0@49.375C tj@53.531C soc1@50C VDD_GPU_SOC 16833mW/12925mW VDD_CPU_CV 2004mW/2142mW VIN_SYS_5V0 7067mW/6543mW
02-16-2026 18:00:28 RAM 15465/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@1420,0%@1420,80%@1420,0%@1420,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 60% cpu@54C soc2@49.218C soc0@50.031C tj@54C soc1@50.187C VDD_GPU_SOC 23237mW/12929mW VDD_CPU_CV 2003mW/2142mW VIN_SYS_5V0 8089mW/6544mW
02-16-2026 18:00:31 RAM 15524/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,1%@729,9%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@1804,77%@1804,0%@1804,0%@1804] GR3D_FREQ 38% cpu@53.437C soc2@48.187C soc0@49.312C tj@53.437C soc1@50.218C VDD_GPU_SOC 6410mW/12927mW VDD_CPU_CV 2403mW/2142mW VIN_SYS_5V0 5956mW/6544mW
02-16-2026 18:00:34 RAM 17236/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@1958,0%@1958,15%@1958,1%@1958,1%@729,0%@729,0%@729,1%@729,0%@729,67%@729,0%@729,0%@729] GR3D_FREQ 20% cpu@53.312C soc2@48.281C soc0@49.562C tj@53.312C soc1@50.031C VDD_GPU_SOC 12825mW/12927mW VDD_CPU_CV 1602mW/2142mW VIN_SYS_5V0 6461mW/6543mW
02-16-2026 18:00:37 RAM 17252/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@2201,1%@2201,83%@2201,0%@2201,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 44% cpu@53.843C soc2@48.718C soc0@49.781C tj@53.843C soc1@50.375C VDD_GPU_SOC 17234mW/12928mW VDD_CPU_CV 2004mW/2141mW VIN_SYS_5V0 7067mW/6544mW
02-16-2026 18:00:40 RAM 17266/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,0%@2201,80%@2201,0%@2201,1%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 33% cpu@54C soc2@48.968C soc0@50.062C tj@54C soc1@50.5C VDD_GPU_SOC 19639mW/12931mW VDD_CPU_CV 2004mW/2141mW VIN_SYS_5V0 7370mW/6544mW
02-16-2026 18:00:43 RAM 17290/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,1%@729,0%@729,1%@2201,28%@2201,0%@2201,0%@2201] GR3D_FREQ 36% cpu@53.968C soc2@48.875C soc0@49.906C tj@53.968C soc1@50.593C VDD_GPU_SOC 12019mW/12931mW VDD_CPU_CV 2403mW/2142mW VIN_SYS_5V0 6764mW/6544mW
02-16-2026 18:00:46 RAM 17287/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2188,14%@2188,0%@2188,0%@2188,0%@729,0%@729,0%@729,0%@729,10%@729,62%@729,0%@729,0%@729] GR3D_FREQ 45% cpu@53.625C soc2@48.437C soc0@49.468C tj@53.625C soc1@50.406C VDD_GPU_SOC 6009mW/12928mW VDD_CPU_CV 2402mW/2142mW VIN_SYS_5V0 5754mW/6544mW
02-16-2026 18:00:49 RAM 17275/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@2201,18%@2201,60%@2201,1%@2201,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 51% cpu@53.718C soc2@48.937C soc0@49.75C tj@53.718C soc1@50.437C VDD_GPU_SOC 14823mW/12929mW VDD_CPU_CV 2403mW/2142mW VIN_SYS_5V0 6865mW/6544mW
02-16-2026 18:00:52 RAM 17275/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,0%@2201,59%@2201,1%@2201,1%@729,0%@729,0%@729,0%@729,3%@2201,19%@2201,0%@2201,0%@2201] GR3D_FREQ 35% cpu@54.406C soc2@49.125C soc0@50.218C tj@54.406C soc1@50.562C VDD_GPU_SOC 18036mW/12931mW VDD_CPU_CV 2004mW/2142mW VIN_SYS_5V0 7269mW/6544mW
02-16-2026 18:00:55 RAM 17287/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@1958,6%@1958,1%@1958,0%@1958,17%@729,0%@729,0%@729,0%@729,0%@729,57%@729,1%@729,0%@729] GR3D_FREQ 35% cpu@54.687C soc2@49.406C soc0@50.437C tj@54.687C soc1@51C VDD_GPU_SOC 20448mW/12934mW VDD_CPU_CV 2004mW/2142mW VIN_SYS_5V0 7471mW/6545mW
02-16-2026 18:00:58 RAM 17288/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [2%@2201,60%@2201,24%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 49% cpu@53.843C soc2@48.75C soc0@49.906C tj@53.843C soc1@50.75C VDD_GPU_SOC 6810mW/12931mW VDD_CPU_CV 2003mW/2142mW VIN_SYS_5V0 5956mW/6544mW
02-16-2026 18:01:01 RAM 19188/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@729,0%@729,56%@729,0%@729,11%@1651,15%@1651,0%@1651,1%@1651,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@54.062C soc2@49.218C soc0@50.218C tj@54.062C soc1@50.593C VDD_GPU_SOC 16419mW/12933mW VDD_CPU_CV 2401mW/2142mW VIN_SYS_5V0 7381mW/6545mW
02-16-2026 18:01:04 RAM 19185/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [0%@2201,0%@2201,0%@2201,1%@2201,1%@1497,80%@1497,0%@1497,0%@1497,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@54.312C soc2@49.656C soc0@50.531C tj@54.312C soc1@50.812C VDD_GPU_SOC 21225mW/12936mW VDD_CPU_CV 2402mW/2142mW VIN_SYS_5V0 7887mW/6545mW
02-16-2026 18:01:07 RAM 19185/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,79%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 82% cpu@54.906C soc2@49.531C soc0@50.562C tj@54.906C soc1@51C VDD_GPU_SOC 19639mW/12939mW VDD_CPU_CV 2004mW/2142mW VIN_SYS_5V0 7471mW/6546mW
02-16-2026 18:01:10 RAM 19186/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [6%@2201,0%@2201,26%@2201,0%@2201,0%@729,50%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 48% cpu@54.531C soc2@49.531C soc0@50.281C tj@54.531C soc1@51C VDD_GPU_SOC 12424mW/12938mW VDD_CPU_CV 2403mW/2142mW VIN_SYS_5V0 6663mW/6546mW
02-16-2026 18:01:13 RAM 19186/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [1%@2201,0%@2201,85%@2201,1%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 41% cpu@54.375C soc2@49C soc0@50.187C tj@54.375C soc1@50.843C VDD_GPU_SOC 6009mW/12936mW VDD_CPU_CV 2403mW/2142mW VIN_SYS_5V0 5754mW/6545mW
02-16-2026 18:01:16 RAM 19192/62841MB (lfb 403x4MB) SWAP 313/31420MB (cached 5MB) CPU [2%@2201,2%@2201,21%@2201,0%@2201,0%@1804,53%@1804,0%@1804,1%@1804,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 13% cpu@54.375C soc2@49.468C soc0@50.468C tj@54.75C soc1@50.843C VDD_GPU_SOC 18444mW/12938mW VDD_CPU_CV 2004mW/2142mW VIN_SYS_5V0 7269mW/6546mW
